specimen_id,age_in_days,age_in_weeks,allelic_composition,biological_sample_group,colony_id,datasource_name,date_of_birth,date_of_experiment,developmental_stage_acc,developmental_stage_name,experiment_id,experiment_source_id,external_sample_id,genetic_background,life_stage_acc,life_stage_name,litter_id,observation_type,parameter_stable_id,phenotyping_center,pipeline_name,pipeline_stable_id,procedure_group,procedure_name,procedure_stable_id,production_center,project_name,sex,specimen_id,strain_accession_id,strain_name,weight,weight_date,weight_days_old,weight_parameter_stable_id,zygosity,id,_version_,metadata_Anesthetic administration route,metadata_Anesthetic agent 1,metadata_Anesthetic agent 1 dosage,metadata_Anesthetic agent 2,metadata_Anesthetic agent 2 dosage,metadata_Equipment ID,metadata_Equipment manufacturer,metadata_Equipment model,metadata_Experimenter ID,metadata_Number averages,metadata_Recording Environment,metadata_Repetition Rate,metadata_Software,metadata_Time of injection,metadata_Tone Pip Duration,metadata_Tone Pip rise/fall,30kHz-evoked ABR Threshold,Body weight,6kHz-evoked ABR Threshold,24kHz-evoked ABR Threshold,12kHz-evoked ABR Threshold,18kHz-evoked ABR Threshold,allele_accession_id,allele_symbol,gene_accession_id,gene_symbol,metadata_Date equipment last calibrated,metadata_Extension of stimulus levels,metadata_Range of stimulus levels used - 12kHz,metadata_Range of stimulus levels used - 18kHz,metadata_Range of stimulus levels used - 24kHz,metadata_Range of stimulus levels used - 30kHz,metadata_Range of stimulus levels used - 6kHz,metadata_Range of stimulus levels used - Click,metadata_Range of test stimuli used,metadata_Stimulus level step size,Click-evoked ABR threshold,metadata_ProductionCenter,procedure_sequence_id,metadata_Date of Test,category
757badc9b10a6ad2f8134bfd981ee398,99,14,,control,IP00005490bd,IMPC,2017-01-25T00:00:00Z,2017-05-04T00:00:00Z,EFO:0002948,postnatal,ec584f928ca60df290c680fb69c29f53,42479,85460,involves: C57BL/6N,IMPCLS:0005,Early adult,p10241wt_IP00005490bd,unidimensional,IMPC_ABR_012_001,ICS,ICS,ICS_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,ICS,Phenomin,female,757badc9b10a6ad2f8134bfd981ee398,MGI:2159965,C57BL/6N,22.4,2017-05-04T00:00:00Z,99.0,IMPC_ABR_001_001,wildtype,97dec629-8da8-4a11-bfa9-823dc95f6677,1816871293941710859,Intramuscular,Ketamine,0.1,Xylazine,0.01,NI/01/297,TDT (Tucker Davis Technologies),III,162,300,Sound proof room,20,Cambridge Electronic Design,09:00:00,5,1,85.0,22.4,45.0,80.0,20.0,30.0,,,,,,,,,,,,,,,,,,,
056f1cb6a9108d727d68bc5c5eb85c60,97,13,Kcnh8<em1(IMPC)Mbp>/Kcnh8<em1(IMPC)Mbp>,experimental,CR1575,IMPC,2017-11-08T00:00:00Z,2018-02-13T00:00:00Z,EFO:0002948,postnatal,3262a636da1204ea1f095968adb69ca2,ABR_CR1575-112_2018-02-13,CR1575-112,involves: C57BL/6NCrl,IMPCLS:0005,Early adult,CR1575_20171108,unidimensional,IMPC_ABR_004_001,UC Davis,UCD Pipeline,UCD_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,UC Davis,DTCC,female,056f1cb6a9108d727d68bc5c5eb85c60,MGI:2683688,C57BL/6NCrl,25.62,2018-02-13T00:00:00Z,97.0,IMPC_BWT_001_001,homozygote,d8fb2f06-d183-4f27-a513-d7494bfec819,1816871293957439494,Intraperitoneal,Ketamine,10,Xylazine,1,18,TDT (Tucker Davis Technologies),"RZ6-A-P1 bioacoustic system, RA4PA pre-amp / Digitizer, RA4LI headstage, MF1-S multi field speaker",91,512,In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),42.6,Tucker Davis Technologies,13:23:00,5,1,50.0,,35.0,35.0,15.0,20.0,MGI:6152504,Kcnh8<em1(IMPC)Mbp>,MGI:2445160,Kcnh8,2018-02-13,90,0-90,0-90,10-90,20-90,20-90,0-85,"Tone,6,12,18,24,30 kHz",5,10.0,,,,
4f0a35717a4277c0bc6ce00813208a4c,96,13,,control,unknown,IMPC,2019-07-31T00:00:00Z,2019-11-04T00:00:00Z,EFO:0002948,postnatal,be9137f97824834eb7486485410b162d,1134642_277463,C57BL6NTAC-2017/503.5D_6928221,involves: C57BL/6NTac,IMPCLS:0005,Early adult,4108510,unidimensional,IMPC_ABR_012_001,MRC Harwell,Harwell,HRWL_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,MRC Harwell,BaSH,female,4f0a35717a4277c0bc6ce00813208a4c,MGI:2164831,C57BL/6NTac,23.18,2019-11-04T00:00:00Z,96.0,IMPC_DXA_001_001,homozygote,47064aa4-48df-444c-a883-532066ba841b,1816871293971070979,Subcutaneous,Ketamine,0.1,Xylazine,0.01,New ABR,TDT (Tucker Davis Technologies),Smart EP,3644469,542,Sound proof booth,42.6,BioSigRZ,null,7,1,50.0,,50.0,50.0,25.0,40.0,,,,,,,0-85,0-85,0-85,0-85,0-85,0-85,,5,35.0,,,,
3d86c1c59889d69d688d1d721e633180,105,15,Sun1<tm1b(EUCOMM)Wtsi>/Sun1<tm1b(EUCOMM)Wtsi>,experimental,IP00006381a,IMPC,2016-10-26T00:00:00Z,2017-02-08T00:00:00Z,EFO:0002948,postnatal,6ce56f5cea731ff6f6c7749a323cbd55,41273,83873,involves: C57BL/6N,IMPCLS:0005,Early adult,p10016_IP00006381a,unidimensional,IMPC_ABR_006_001,ICS,ICS,ICS_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,CDTA,Phenomin,female,3d86c1c59889d69d688d1d721e633180,MGI:2159965,C57BL/6N,20.7,2017-02-08T00:00:00Z,105.0,IMPC_ABR_001_001,homozygote,891ded0f-2e25-4206-a9a6-6c168b27fe99,1816871293983653889,Intramuscular,Ketamine,0.1,Xylazine,0.01,NI/01/297,TDT (Tucker Davis Technologies),III,27,300,Sound proof room,20,Cambridge Electronic Design,09:00:00,5,1,65.0,20.7,45.0,30.0,20.0,25.0,MGI:5793071,Sun1<tm1b(EUCOMM)Wtsi>,MGI:1924303,Sun1,,,,,,,,,,,,CDTA,,,
af20682a0c58cd5b5c23c962ebdc0ff5,99,14,Awat2<em1(IMPC)Mbp>/0,experimental,CR1443,IMPC,2017-09-12T00:00:00Z,2017-12-20T00:00:00Z,EFO:0002948,postnatal,b19d74d056412c2ff77f9ed4c305d117,ABR_CR1443-134_2017-12-20,CR1443-134,involves: C57BL/6NCrl,IMPCLS:0005,Early adult,CR1443_20170912,unidimensional,IMPC_ABR_010_001,UC Davis,UCD Pipeline,UCD_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,UC Davis,DTCC,male,af20682a0c58cd5b5c23c962ebdc0ff5,MGI:2683688,C57BL/6NCrl,28.32,2017-12-20T00:00:00Z,99.0,IMPC_BWT_001_001,hemizygote,2c8825df-f6ad-4987-8cbf-958e0688fec5,1816871294001479681,Intraperitoneal,Ketamine,10,Xylazine,1,18,TDT (Tucker Davis Technologies),"RZ6-A-P1 bioacoustic system, RA4PA pre-amp / Digitizer, RA4LI headstage, MF1-S multi field speaker",43,512,In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),42.6,Tucker Davis Technologies,12:01:00,5,1,50.0,,35.0,30.0,20.0,25.0,MGI:6148071,Awat2<em1(IMPC)Mbp>,MGI:3045345,Awat2,2017-12-20,90,0-90,0-90,10-90,20-90,20-90,0-85,"Tone,6,12,18,24,30 kHz",5,15.0,,,,
471a5ea0036f0c92d4e2be4531598604,109,15,,control,unknown,IMPC,2016-05-27T00:00:00Z,2016-09-13T00:00:00Z,EFO:0002948,postnatal,7eb69562bfb4f8f8961866914b4c8c93,ABR - Auditory Brain Stem Response - J54601 - 953566,J54601,involves: C57BL/6NJ,IMPCLS:0005,Early adult,20160527,unidimensional,IMPC_ABR_012_001,JAX,JAX Pipeline,JAX_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,JAX,JAX,female,471a5ea0036f0c92d4e2be4531598604,MGI:3056279,C57BL/6NJ,21.2,2016-09-16T00:00:00Z,112.0,IMPC_BWT_001_001,wildtype,737d49ac-8e0b-44ec-846a-1a640ab12ee9,1816871294008819719,Intraperitoneal,Ketamine,0.8,Xylazine,0.01,IHS5156,Intelligent Hearing Systems,Smart EP,205,512,Sound proof booth,42.6,SmartEP,07:35:00,5,1,55.0,,45.0,40.0,40.0,30.0,,,,,2015-06-22,,,,,,,,"6,12,18,24,30 kHz",5,,,,,
e3a1008b7e2ed39d580d7d974dfa4433,111,15,,control,unknown,IMPC,2014-12-02T00:00:00Z,2015-03-23T00:00:00Z,EFO:0002948,postnatal,cf664bb1c75742e60d7cb1e48c7ba961,ABR - Auditory Brain Stem Response - K51275 - 353850,K51275,involves: C57BL/6NJ,IMPCLS:0005,Early adult,20141202,unidimensional,IMPC_ABR_004_001,JAX,JAX Pipeline,JAX_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,JAX,JAX,female,e3a1008b7e2ed39d580d7d974dfa4433,MGI:3056279,C57BL/6NJ,20.84,2015-03-20T00:00:00Z,108.0,IMPC_BWT_001_001,wildtype,3b4eb034-cfb0-4dd2-9000-e33ef78da5a4,1816871294056005637,Intraperitoneal,Ketamine,0.8,Xylazine,0.01,IHS5156,Intelligent Hearing Systems,Smart EP,128,512,Sound proof booth,42.6,SmartEP,13:08:00,5,1,65.0,,50.0,45.0,50.0,35.0,,,,,2013-03-15,,,,,,,,"6,12,18,24,30 kHz",5,,,,,
13ac0641066360a79e8a0e9a3b5f262b,105,15,Nwd2<em1(IMPC)Ccpcz>/Nwd2<em1(IMPC)Ccpcz>,experimental,CCP-Nwd2-EXDEL-EM1-B6N,IMPC,2019-05-09T00:00:00Z,2019-08-22T00:00:00Z,EFO:0002948,postnatal,46b3bff3bc76efa5324a9d64bffe982b,IMPC_ABR_002_ABR 0009_2019-08-22,E64-E7207,involves: C57BL/6NCrl,IMPCLS:0005,Early adult,282292,unidimensional,IMPC_ABR_010_001,CCP-IMG,CCP Pipeline,CCP_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,CCP-IMG,CCP-IMG,female,13ac0641066360a79e8a0e9a3b5f262b,MGI:2683688,C57BL/6NCrl,20.0,2019-08-23T00:00:00Z,106.0,IMPC_BWT_001_001,homozygote,b46537eb-6958-4b6b-8b46-4ccc7da433d6,1816871294085365767,Subcutaneous,Tiletamine,0.03,Zolazepam,0.03,Setup01,"TDT (Tucker Davis Technologies), RAAL Advanced Loudspeakers, DENON","RZ6 Processor, RA4LI headstage, RA4PA pre-amp, RAAL 140-15d ribbon speaker, DENON PMA-520AE power amplifier",ABR_MJR_001,450,In anechoic chamber (6 m^3) on heating pad (37 degrees C),42.6,"BioSigRZ, custom ABR Visualisation Tool",10:32:00,5,1,,,25.0,65.0,20.0,20.0,MGI:6341878,Nwd2<em1(IMPC)Ccpcz>,MGI:1920464,Nwd2,,,,,,,,,"Click,6,12,18,24,30 kHz",5,30.0,,20190822,,
7be2913124525a148ab7bfe728d3ae40,100,14,,control,CR10206,IMPC,2018-10-29T00:00:00Z,2019-02-06T00:00:00Z,EFO:0002948,postnatal,22bfe41a2746432ffa318edc39f65a8a,ABR_CR10206-129_2019-02-06,CR10206-129,involves: C57BL/6NCrl,IMPCLS:0005,Early adult,CR10206_20181029,unidimensional,IMPC_ABR_004_001,UC Davis,UCD Pipeline,UCD_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,UC Davis,DTCC,male,7be2913124525a148ab7bfe728d3ae40,MGI:2683688,C57BL/6NCrl,28.85,2019-02-06T00:00:00Z,100.0,IMPC_BWT_001_001,wildtype,59a6e550-59e1-416c-9be9-70f9ccd6686c,1816871294100045825,Intraperitoneal,Ketamine,10,Xylazine,1,18,TDT (Tucker Davis Technologies),"RZ6-A-P1 bioacoustic system, RA4PA pre-amp / Digitizer, RA4LI headstage, MF1-S multi field speaker",120,512,In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),42.6,Tucker Davis Technologies,12:54:00,5,1,45.0,,35.0,30.0,15.0,30.0,,,,,2019-02-06,90,0-90,0-90,10-90,20-90,20-90,0-85,"Tone,6,12,18,24,30 kHz",5,10.0,,,,
