gene_symbol,allele_symbol,zygosity,phenotyping_center,count
Cldn19,Cldn19<tm1.1(KOMP)Vlcg>,homozygote,JAX,8
Cldn23,Cldn23<em1(IMPC)J>,homozygote,JAX,8
Cldnd2,Cldnd2<tm1b(EUCOMM)Hmgu>,homozygote,ICS,6
Clec2g,Clec2g<em1(IMPC)J>,homozygote,JAX,8
Clec4a4,Clec4a4<tm1(KOMP)Vlcg>,homozygote,UC Davis,4
Clk1,Clk1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,5
Clpx,Clpx<tm1.1(KOMP)Vlcg>,heterozygote,JAX,7
Clrn3,Clrn3<em1(IMPC)J>,homozygote,JAX,8
Cluh,Cluh<em1(IMPC)Ccpcz>,heterozygote,CCP-IMG,15
Cmas,Cmas<em1(IMPC)Hmgu>,heterozygote,HMGU,8
Cmip,Cmip<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,8
Cmtm7,Cmtm7<em1(IMPC)J>,homozygote,JAX,8
Cmtm8,Cmtm8<em1(IMPC)J>,homozygote,JAX,8
Cnbd1,Cnbd1<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4
Cngb3,Cngb3<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,16
Cnnm2,Cnnm2<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4
Cnot10,Cnot10<em1(IMPC)J>,heterozygote,JAX,8
Cntf,Cntf<tm1b(KOMP)Wtsi>,homozygote,UC Davis,4
Cntnap5a,Cntnap5a<em1(IMPC)J>,homozygote,JAX,8
Cog8,Cog8<em1(IMPC)J>,heterozygote,JAX,8
Col11a2,Col11a2<tm1b(KOMP)Wtsi>,heterozygote,HMGU,8
Coq4,Coq4<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4
Coq6,Coq6<tm1b(EUCOMM)Hmgu>,heterozygote,JAX,8
Coro1c,Coro1c<tm1a(KOMP)Wtsi>,heterozygote,WTSI,6
Cox18,Cox18<em1(IMPC)J>,heterozygote,JAX,8
Cox6b1,Cox6b1<em1(IMPC)Tcp>,heterozygote,TCP,4
Cpa4,Cpa4<em1(IMPC)Marc>,homozygote,MARC,5
Cpsf3,Cpsf3<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,7
Cpsf4l,Cpsf4l<em1(IMPC)J>,homozygote,JAX,7
Crbn,Crbn<tm1b(KOMP)Wtsi>,homozygote,UC Davis,4
Crcp,Crcp<em1(IMPC)J>,heterozygote,JAX,8
Cript,Cript<tm1.1(KOMP)Vlcg>,heterozygote,JAX,8
Crybb3,Crybb3<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Crybg1,Crybg1<tm1b(KOMP)Wtsi>,heterozygote,TCP,4
Crygn,Crygn<em1(IMPC)Hmgu>,homozygote,HMGU,8
Csmd3,Csmd3<em1(IMPC)Mbp>,homozygote,UC Davis,4
Csnk1g1,Csnk1g1<em1(IMPC)J>,homozygote,JAX,6
Cst9,Cst9<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Cstad,Cstad<em1(IMPC)J>,homozygote,JAX,5
Cstf1,Cstf1<em1(IMPC)J>,heterozygote,JAX,8
Ctbs,Ctbs<em1(IMPC)J>,homozygote,JAX,7
Cth,Cth<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,6
Ctr9,Ctr9<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,4
Cts3,Cts3<em1(IMPC)Hmgu>,homozygote,HMGU,8
Cttnbp2nl,Cttnbp2nl<em1(IMPC)J>,homozygote,JAX,7
Cuedc1,Cuedc1<em1(IMPC)J>,homozygote,JAX,8
Cutal,Cutal<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4
Cx3cl1,Cx3cl1<em3(IMPC)Ics>,homozygote,ICS,11
Cxcl9,Cxcl9<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4
Cyba,Cyba<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4
Cyp2c23,Cyp2c23<tm1b(EUCOMM)Hmgu>,homozygote,JAX,8
Cyp2r1,Cyp2r1<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4
Cyp39a1,Cyp39a1<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,16
Cyp4f16,Cyp4f16<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,4
Cyria,Cyria<em1(IMPC)Hmgu>,homozygote,HMGU,8
Cyrib,Cyrib<tm1b(KOMP)Wtsi>,heterozygote,TCP,4
Cyth4,Cyth4<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,16
D130043K22Rik,D130043K22Rik<tm1b(KOMP)Wtsi>,homozygote,UC Davis,6
D16Ertd472e,D16Ertd472e<tm1b(EUCOMM)Wtsi>,homozygote,ICS,15
D6Wsu163e,D6Wsu163e<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,8
Daam2,Daam2<tm1a(KOMP)Wtsi>,homozygote,WTSI,4
Dach1,Dach1<tm1b(KOMP)Wtsi>,heterozygote,JAX,8
Dap,Dap<tm1a(KOMP)Mbp>,homozygote,WTSI,4
Dbnl,Dbnl<tm1b(KOMP)Wtsi>,homozygote,ICS,6
Dcaf8,Dcaf8<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,16
Dcc,Dcc<tm1b(NCOM)Mfgc>,heterozygote,TCP,4
Dcp2,Dcp2<tm1b(KOMP)Wtsi>,heterozygote,ICS,16
Dcx,Dcx<tm1a(EUCOMM)Wtsi>,hemizygote,WTSI,4
Ddah1,Ddah1<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,9
Ddc,Ddc<em1(IMPC)Hmgu>,heterozygote,HMGU,8
Ddost,Ddost<tm1.1(KOMP)Vlcg>,heterozygote,TCP,4
Ddx31,Ddx31<em1(IMPC)J>,heterozygote,JAX,8
Ddx41,Ddx41<tm1b(KOMP)Wtsi>,heterozygote,TCP,4
Def6,Def6<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,8
Defb20,Defb20<tm1b(EUCOMM)Hmgu>,homozygote,JAX,7
Degs1,Degs1<em1(IMPC)Mbp>,heterozygote,UC Davis,4
Dele1,Dele1<em2(IMPC)Ccpcz>,homozygote,CCP-IMG,16
Dennd1a,Dennd1a<em1(IMPC)Mbp>,heterozygote,UC Davis,4
Dennd1b,Dennd1b<tm1a(EUCOMM)Hmgu>,homozygote,WTSI,4
Dennd4c,Dennd4c<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,4
Derl2,Derl2<tm1b(EUCOMM)Hmgu>,heterozygote,ICS,20
Dhodh,Dhodh<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,4
Dhrs2,Dhrs2<tm1a(KOMP)Wtsi>,homozygote,WTSI,4
Dhtkd1,Dhtkd1<em1(IMPC)J>,homozygote,JAX,8
Dhx15,Dhx15<em1(IMPC)Tcp>,heterozygote,TCP,4
Dhx29,Dhx29<tm1.1(KOMP)Vlcg>,heterozygote,JAX,8
Dhx37,Dhx37<em1(IMPC)J>,heterozygote,JAX,8
Dhx38,Dhx38<em1(IMPC)J>,heterozygote,JAX,8
Dip2a,Dip2a<tm2b(KOMP)Wtsi>,homozygote,WTSI,4
Dipk1a,Dipk1a<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,6
Dipk1c,Dipk1c<em1(IMPC)J>,homozygote,JAX,8
Dis3,Dis3<tm1e.1(EUCOMM)Hmgu>,heterozygote,HMGU,8
Dis3l,Dis3l<em1(IMPC)Ccpcz>,heterozygote,CCP-IMG,16
Disc1,Disc1<em1(IMPC)Mbp>,homozygote,UC Davis,4
Dlec1,Dlec1<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,8
Dlg2,Dlg2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4
Dlgap2,Dlgap2<em1(IMPC)Mhzh>,homozygote,MARC,6
Dlk1,Dlk1<em1(IMPC)Wtsi>,homozygote,WTSI,5
Dnaaf2,Dnaaf2<tm1.1(KOMP)Vlcg>,heterozygote,JAX,8
Dnah5,Dnah5<tm1b(KOMP)Wtsi>,heterozygote,UC Davis,4
Dnajb5,Dnajb5<em1(IMPC)J>,homozygote,JAX,9
Dnajb7,Dnajb7<tm1.1(KOMP)Vlcg>,homozygote,JAX,8
Dnajc27,Dnajc27<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,8
Dnajc7,Dnajc7<tm1b(KOMP)Wtsi>,homozygote,JAX,6
Dnase1l2,Dnase1l2<em1(IMPC)J>,homozygote,JAX,8
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,ICS,21
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,JAX,8
Dnase1l3,Dnase1l3<em1(IMPC)Mbp>,homozygote,UC Davis,4
Dnm2,Dnm2<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4
Dnmt3a,Dnmt3a<tm1a(KOMP)Wtsi>,homozygote,WTSI,4
Dnmt3a,Dnmt3a<tm1b(KOMP)Wtsi>,heterozygote,JAX,7
Dntt,Dntt<tm2b(KOMP)Wtsi>,homozygote,JAX,8
Dock6,Dock6<em1(IMPC)J>,heterozygote,JAX,7
Dok5,Dok5<em1(IMPC)Mbp>,homozygote,UC Davis,4
Dok6,Dok6<em1(IMPC)J>,homozygote,JAX,8
Dop1b,Dop1b<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,6
Dpf3,Dpf3<em1(IMPC)J>,homozygote,JAX,8
Dph6,Dph6<tm1a(KOMP)Wtsi>,homozygote,WTSI,8
Dpp3,Dpp3<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,8
Dpp8,Dpp8<em1(IMPC)J>,homozygote,JAX,7
Dpp9,Dpp9<em1(IMPC)Ccpcz>,heterozygote,CCP-IMG,18
Dpp9,Dpp9<tm1b(EUCOMM)Hmgu>,heterozygote,HMGU,8
Drc7,Drc7<em1(IMPC)J>,homozygote,JAX,8
Dtx4,Dtx4<em1(IMPC)Ccpcz>,heterozygote,CCP-IMG,17
Dusp11,Dusp11<tm1b(EUCOMM)Wtsi>,homozygote,ICS,16
Dusp29,Dusp29<em1(IMPC)J>,homozygote,JAX,8
Dydc2,Dydc2<em1(IMPC)J>,homozygote,JAX,8
Dync1li2,Dync1li2<em1(IMPC)J>,heterozygote,JAX,8
Dynll1,Dynll1<tm1(KOMP)Wtsi>,heterozygote,WTSI,8
Dyrk1b,Dyrk1b<tm1b(EUCOMM)Wtsi>,heterozygote,ICS,18
E130308A19Rik,E130308A19Rik<em1(IMPC)J>,homozygote,JAX,7
E130311K13Rik,E130311K13Rik<em1(IMPC)J>,homozygote,JAX,8
Ech1,Ech1<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,8
Ect2,Ect2<tm1b(EUCOMM)Wtsi>,heterozygote,ICS,16
Edc4,Edc4<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4
Edn2,Edn2<tm1b(KOMP)Mbp>,heterozygote,RBRC,4
Efcab3,Efcab3<em1(IMPC)J>,homozygote,JAX,8
Efcab6,Efcab6<tm1.1(KOMP)Vlcg>,homozygote,JAX,8
Efemp1,Efemp1<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Efhb,Efhb<em1(IMPC)J>,homozygote,JAX,8
Efhc2,Efhc2<em1(IMPC)J>,hemizygote,JAX,4
Efna2,Efna2<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Eftud2,Eftud2<tm1b(KOMP)Wtsi>,heterozygote,ICS,14
Egfem1,Egfem1<em1(IMPC)J>,homozygote,JAX,8
Egr4,Egr4<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Ehmt2,Ehmt2<tm1.1(KOMP)Mbp>,heterozygote,JAX,8
Eid2,Eid2<em1(IMPC)J>,homozygote,JAX,8
Eif1ad,Eif1ad<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4
Emc3,Emc3<tm1b(EUCOMM)Wtsi>,heterozygote,HMGU,8
Emilin3,Emilin3<tm1.1(KOMP)Vlcg>,homozygote,JAX,8
Enkd1,Enkd1<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Enpp4,Enpp4<em1(IMPC)Ics>,homozygote,ICS,6
Entpd6,Entpd6<tm1a(KOMP)Wtsi>,homozygote,WTSI,4
Epha10,Epha10<tm1.1(KOMP)Vlcg>,homozygote,JAX,8
Ephb2,Ephb2<em1(IMPC)Mbp>,homozygote,UC Davis,4
Epn3,Epn3<tm1b(KOMP)Wtsi>,homozygote,UC Davis,4
Ercc4,Ercc4<em1(IMPC)J>,heterozygote,JAX,8
Ergic2,Ergic2<em1(IMPC)Hmgu>,heterozygote,HMGU,8
Erich2,Erich2<em1(IMPC)Marc>,homozygote,MARC,6
Erlec1,Erlec1<em1(IMPC)Mbp>,homozygote,UC Davis,4
Esrp1,Esrp1<em1(IMPC)Mbp>,heterozygote,UC Davis,4
Esyt1,Esyt1<em1(IMPC)Hmgu>,homozygote,HMGU,8
Evl,Evl<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,4
Exoc1,Exoc1<em1(IMPC)Mbp>,heterozygote,UC Davis,4
Exoc3l4,Exoc3l4<em1(IMPC)J>,heterozygote,JAX,8
Exoc4,Exoc4<em1(IMPC)J>,heterozygote,JAX,7
Exoc6b,Exoc6b<em1(IMPC)Hmgu>,heterozygote,HMGU,8
Exph5,Exph5<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,8
F13a1,F13a1<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,5
F2rl1,F2rl1<tm1b(EUCOMM)Wtsi>,homozygote,JAX,8
Fah,Fah<em1(IMPC)Mbp>,heterozygote,UC Davis,4
Fahd1,Fahd1<em1(IMPC)J>,homozygote,JAX,8
Fam118a,Fam118a<em1(IMPC)J>,homozygote,JAX,10
Fam120c,Fam120c<em1(IMPC)Ccpcz>,hemizygote,CCP-IMG,4
Fam120c,Fam120c<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,10
Fam124a,Fam124a<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,15
Fam163a,Fam163a<tm2b(KOMP)Wtsi>,homozygote,WTSI,4
Fam168a,Fam168a<em1(IMPC)J>,homozygote,JAX,8
Fam184b,Fam184b<tm2b(EUCOMM)Wtsi>,homozygote,UC Davis,4
Fam186b,Fam186b<tm1b(KOMP)Mbp>,homozygote,JAX,8
Fam204a,Fam204a<em1(IMPC)J>,heterozygote,JAX,8
Fam217b,Fam217b<tm1.1(KOMP)Vlcg>,homozygote,JAX,8
Fam227b,Fam227b<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,15
Fam229b,Fam229b<em1(IMPC)Mbp>,homozygote,UC Davis,4
Fam3b,Fam3b<tm1b(EUCOMM)Hmgu>,homozygote,ICS,16
Fancf,Fancf<em1(IMPC)J>,homozygote,JAX,8
Far2,Far2<tm2b(KOMP)Wtsi>,homozygote,JAX,9
Fbln7,Fbln7<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Fbxl7,Fbxl7<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4
Fbxo2,Fbxo2<tm1b(EUCOMM)Wtsi>,homozygote,MARC,4
Fbxo24,Fbxo24<em2(IMPC)Marc>,homozygote,MARC,4
Fbxo28,Fbxo28<em1(IMPC)Mhzh>,heterozygote,MARC,6
Fbxo30,Fbxo30<tm1b(KOMP)Wtsi>,heterozygote,JAX,7
Fbxo7,Fbxo7<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4
Fbxw10,Fbxw10<em1(IMPC)Tcp>,homozygote,TCP,4
Fbxw2,Fbxw2<tm1b(EUCOMM)Hmgu>,homozygote,MARC,6
Fcer1g,Fcer1g<tm1b(KOMP)Wtsi>,heterozygote,UC Davis,4
Fcrl2,Fcrl2<em1(IMPC)H>,homozygote,MRC Harwell,4
Fdxacb1,Fdxacb1<tm1.1(KOMP)Vlcg>,homozygote,JAX,6
Fer,Fer<em1(IMPC)Tcp>,homozygote,TCP,4
Fgf22,Fgf22<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4
Fgf7,Fgf7<tm1e.1(EUCOMM)Hmgu>,homozygote,MRC Harwell,4
Fgf9,Fgf9<tm1b(KOMP)Wtsi>,heterozygote,JAX,7
Fhip1a,Fhip1a<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,4
Fhip2a,Fhip2a<em1(IMPC)J>,homozygote,JAX,8
Fjx1,Fjx1<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,3
Fkbp6,Fkbp6<tm1b(KOMP)Wtsi>,homozygote,JAX,7
Fndc7,Fndc7<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Fnta,Fnta<tm1b(KOMP)Wtsi>,heterozygote,UC Davis,4
Folr1,Folr1<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4
Foxn2,Foxn2<em1(IMPC)Tcp>,homozygote,TCP,4
Foxn4,Foxn4<em1(IMPC)Ccpcz>,heterozygote,CCP-IMG,16
Foxo1,Foxo1<tm1b(EUCOMM)Wtsi>,heterozygote,JAX,8
Foxr1,Foxr1<em1(IMPC)Tcp>,homozygote,TCP,3
Foxred2,Foxred2<tm1.1(KOMP)Vlcg>,homozygote,JAX,8
Frmd4a,Frmd4a<em1(IMPC)J>,heterozygote,JAX,6
Frrs1,Frrs1<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4
Fstl3,Fstl3<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Fut4,Fut4<em1(IMPC)Ics>,homozygote,ICS,10
Fyb1,Fyb1<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,7
Gabarapl1,Gabarapl1<em1(IMPC)J>,homozygote,JAX,7
Galnt12,Galnt12<em1(IMPC)J>,homozygote,JAX,8
Garin3,Garin3<tm1a(KOMP)Wtsi>,homozygote,WTSI,4
Gata5,Gata5<tm1b(KOMP)Wtsi>,homozygote,UC Davis,4
Gcgr,Gcgr<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Gcn1,Gcn1<em1(IMPC)J>,heterozygote,JAX,8
Gda,Gda<tm1a(KOMP)Wtsi>,homozygote,WTSI,4
Gde1,Gde1<tm1b(EUCOMM)Hmgu>,heterozygote,HMGU,8
Gde1,Gde1<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,8
Gemin4,Gemin4<em1(IMPC)Ics>,heterozygote,ICS,6
Gemin5,Gemin5<em1(IMPC)H>,heterozygote,MRC Harwell,4
Ggh,Ggh<em1(IMPC)Tcp>,homozygote,TCP,4
Gimap3,Gimap3<em1(IMPC)J>,homozygote,JAX,8
Gimap6,Gimap6<tm1a(KOMP)Wtsi>,homozygote,WTSI,4
Gimap6,Gimap6<tm1b(KOMP)Wtsi>,homozygote,JAX,8
Gimap7,Gimap7<em1(IMPC)Tcp>,heterozygote,TCP,4
Gimap7,Gimap7<em1(IMPC)Tcp>,homozygote,TCP,4
Gimap8,Gimap8<tm1.1(KOMP)Vlcg>,homozygote,JAX,8
Gipc2,Gipc2<em1(IMPC)J>,homozygote,JAX,8
Glo1,Glo1<tm1a(KOMP)Wtsi>,homozygote,WTSI,4
Gm14569,Gm14569<em1(IMPC)J>,hemizygote,JAX,4
Gm28729,Gm28729<em1(IMPC)J>,homozygote,JAX,8
Gm5127,Gm5127<em1(IMPC)J>,hemizygote,JAX,4
Gm5547,Gm5547<em1(IMPC)J>,homozygote,JAX,8
Gm94,Gm94<tm1b(KOMP)Wtsi>,heterozygote,JAX,8
Gmip,Gmip<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,4
Gmps,Gmps<em1(IMPC)Tcp>,heterozygote,TCP,4
Gnao1,Gnao1<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4
Gnb2,Gnb2<em1(IMPC)J>,homozygote,JAX,8
Gnb3,Gnb3<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,7
Gnb5,Gnb5<tm1.1(KOMP)Vlcg>,heterozygote,JAX,8
Golgb1,Golgb1<tm1b(EUCOMM)Hmgu>,heterozygote,ICS,6
Golt1b,Golt1b<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,8
Gorasp1,Gorasp1<tm1b(KOMP)Wtsi>,heterozygote,ICS,14
Gp6,Gp6<tm2b(EUCOMM)Hmgu>,homozygote,ICS,16
Gpalpp1,Gpalpp1<em1(IMPC)Hmgu>,homozygote,HMGU,8
Gpatch4,Gpatch4<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,17
Gpc1,Gpc1<em1(IMPC)Mbp>,homozygote,UC Davis,4
Gpnmb,Gpnmb<tm1.1(KOMP)Vlcg>,heterozygote,JAX,7
Gpnmb,Gpnmb<tm1.1(KOMP)Vlcg>,homozygote,JAX,8
Gpr141b,Gpr141b<em1(IMPC)Tcp>,homozygote,TCP,4
Gpr152,Gpr152<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,9
Gpr17,Gpr17<tm1b(KOMP)Mbp>,homozygote,UC Davis,4
Gpr19,Gpr19<tm1b(KOMP)Mbp>,homozygote,JAX,9
Gpr35,Gpr35<tm1b(EUCOMM)Hmgu>,homozygote,WTSI,4
Gpr83,Gpr83<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,15
Gpr87,Gpr87<tm1.1(KOMP)Vlcg>,homozygote,JAX,8
Gpx1,Gpx1<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Grcc10,Grcc10<tm1.1(KOMP)Vlcg>,heterozygote,JAX,7
Grin3b,Grin3b<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,3
Gsta4,Gsta4<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,8
Gstm1,Gstm1<em1(IMPC)Hmgu>,homozygote,HMGU,8
Gstm3,Gstm3<em1(IMPC)Hmgu>,homozygote,HMGU,8
Gstm5,Gstm5<em1(IMPC)Mbp>,homozygote,UC Davis,4
Gstm6,Gstm6<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,7
Gsto1,Gsto1<em1(IMPC)J>,homozygote,JAX,8
Gstt1,Gstt1<tm1a(EUCOMM)Hmgu>,homozygote,HMGU,8
Gtf2a1,Gtf2a1<tm1a(KOMP)Wtsi>,heterozygote,WTSI,5
Gtf2ird2,Gtf2ird2<em1(IMPC)J>,homozygote,JAX,8
H1f0,H1f0<em1(IMPC)Mbp>,homozygote,UC Davis,4
H2-Eb1,H2-Eb1<b-tm1a(KOMP)Wtsi>,homozygote,WTSI,4
H2-Eb2,H2-Eb2<em1(IMPC)J>,homozygote,JAX,8
H2-Q10,H2-Q10<tm1.1(KOMP)Mbp>,homozygote,UC Davis,4
H3f3b,H3f3b<tm1.1(KOMP)Mbp>,homozygote,UC Davis,7
Hacd3,Hacd3<em1(IMPC)Mbp>,homozygote,UC Davis,4
Hacl1,Hacl1<tm1a(KOMP)Wtsi>,homozygote,WTSI,4
Hao2,Hao2<em1(IMPC)Wtsi>,homozygote,WTSI,4
Hars2,Hars2<em1(IMPC)J>,heterozygote,JAX,8
Haus4,Haus4<em1(IMPC)J>,heterozygote,JAX,8
Hcar1,Hcar1<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,16
Hdac1,Hdac1<tm1b(EUCOMM)Wtsi>,heterozygote,HMGU,8
Hdac10,Hdac10<tm1.1(KOMP)Mbp>,homozygote,JAX,7
Hdac11,Hdac11<em1(IMPC)Kmpc>,homozygote,KMPC,4
Hemgn,Hemgn<tm1.1(KOMP)Vlcg>,homozygote,JAX,8
Hepacam2,Hepacam2<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,8
