gene_symbol,allele_symbol,zygosity,center,total_mice,mice_with_complete_data,control_count,control_status,6kHz-evoked ABR Threshold_count,12kHz-evoked ABR Threshold_count,18kHz-evoked ABR Threshold_count,24kHz-evoked ABR Threshold_count,30kHz-evoked ABR Threshold_count,6kHz-evoked ABR Threshold_mean,12kHz-evoked ABR Threshold_mean,18kHz-evoked ABR Threshold_mean,24kHz-evoked ABR Threshold_mean,30kHz-evoked ABR Threshold_mean
0610010K14Rik,0610010K14Rik<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,40.0,37.5,33.75,43.75,61.25
1700020N01Rik,1700020N01Rik<em1(IMPC)J>,homozygote,JAX,7,7,2541,OK,7,7,7,7,7,50.714285714285715,45.0,34.285714285714285,47.142857142857146,62.857142857142854
Aanat,Aanat<em1(IMPC)Krb>,homozygote,KMPC,4,2,420,OK,4,4,4,4,2,22.5,26.25,31.25,50.0,52.5
Abca14,Abca14<tm1.1(NCOM)Mfgc>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,31.25,20.0,22.5,28.75,45.0
Abca17,Abca17<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4,2,346,OK,3,3,3,3,3,60.0,48.333333333333336,48.333333333333336,43.333333333333336,45.0
Abhd11,Abhd11<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,31.25,16.25,18.75,31.25,41.25
Abhd14a,Abhd14a<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,4,4,906,OK,4,4,4,4,4,30.0,17.5,22.5,25.0,37.5
Abhd17c,Abhd17c<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,36.25,21.25,25.0,33.75,50.0
Abi2,Abi2<tm1b(EUCOMM)Wtsi>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,37.5,18.75,21.25,35.0,51.25
Abo,Abo<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,51.25,36.25,31.25,46.25,70.0
Acot1,Acot1<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,35.0,17.5,22.5,26.25,38.75
Actr3b,Actr3b<em1(IMPC)J>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,43.125,43.125,32.5,43.125,61.25
Adamts16,Adamts16<em1(IMPC)J>,homozygote,JAX,7,7,2541,OK,7,7,7,7,7,53.57142857142857,50.714285714285715,39.285714285714285,49.285714285714285,66.42857142857143
Adamts16,Adamts16<em1(IMPC)H>,homozygote,MRC Harwell,4,1,346,OK,4,4,4,3,1,53.75,46.25,38.75,51.666666666666664,45.0
Adcy1,Adcy1<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4,2,346,OK,3,3,3,3,2,56.666666666666664,46.666666666666664,50.0,70.0,100.0
Adgrf1,Adgrf1<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,17,17,3446,OK,17,17,17,17,17,34.411764705882355,32.64705882352941,32.64705882352941,36.76470588235294,50.588235294117645
Adh4,Adh4<em2(IMPC)Marc>,homozygote,MARC,4,4,147,OK,4,4,4,4,4,55.0,51.25,48.75,53.75,77.5
Adipoq,Adipoq<tm1b(KOMP)Wtsi>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,42.5,25.0,32.5,42.5,55.0
Agap1,Agap1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,9,9,906,OK,9,9,9,9,9,45.0,21.11111111111111,27.77777777777778,43.888888888888886,82.22222222222223
Ahsa2,Ahsa2<tm1b(EUCOMM)Wtsi>,homozygote,ICS,4,4,1512,OK,4,4,4,4,4,31.65,20.65,18.2,34.35,40.15
Aicda,Aicda<tm1b(EUCOMM)Hmgu>,homozygote,WTSI,4,4,906,OK,4,4,4,4,4,31.25,15.0,20.0,25.0,38.75
Akap10,Akap10<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,36.25,28.75,26.25,35.0,56.25
Akap13,Akap13<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,40.0,20.0,22.5,31.25,67.5
Akr1c14,Akr1c14<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,45.0,20.0,22.5,32.5,53.75
Aldh1a3,Aldh1a3<tm1b(KOMP)Wtsi>,heterozygote,JAX,8,8,2541,OK,8,8,8,8,8,53.125,56.875,41.875,48.125,59.375
Aldh1b1,Aldh1b1<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,4,4,906,OK,4,4,4,4,4,30.0,18.75,18.75,31.25,41.25
Aldh1b1,Aldh1b1<tm2a(EUCOMM)Wtsi>,heterozygote,WTSI,3,3,906,OK,3,3,3,3,3,30.0,15.0,16.666666666666668,30.0,36.666666666666664
Ankrd28,Ankrd28<em1(IMPC)J>,homozygote,JAX,5,5,2541,OK,5,5,5,5,5,48.0,44.0,39.0,45.0,65.0
Ankrd65,Ankrd65<tm1(KOMP)Wtsi>,homozygote,MARC,4,4,147,OK,4,4,4,4,4,60.0,55.0,56.25,57.5,73.75
Ap3s2,Ap3s2<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,50.0,41.25,33.75,37.5,41.25
Apbb3,Apbb3<em1(IMPC)Marc>,homozygote,MARC,4,4,147,OK,4,4,4,4,4,47.5,37.5,38.75,43.75,85.0
Aprt,Aprt<em1(IMPC)Hmgu>,heterozygote,HMGU,8,8,1909,OK,8,8,8,8,8,36.875,25.625,28.75,40.625,50.625
Aprt,Aprt<em1(IMPC)Hmgu>,homozygote,HMGU,3,1,1909,OK,3,3,3,3,1,45.0,30.0,33.333333333333336,45.0,65.0
Arfip1,Arfip1<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,33.75,17.5,18.75,30.0,48.75
Arhgap26,Arhgap26<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,8,8,1909,OK,8,8,8,8,8,50.0,32.5,37.5,46.25,61.25
Arhgef12,Arhgef12<tm1b(KOMP)Wtsi>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,36.25,18.75,28.75,32.5,45.0
Arl15,Arl15<em1(IMPC)H>,heterozygote,MRC Harwell,3,2,346,OK,3,3,3,3,2,45.0,41.666666666666664,36.666666666666664,36.666666666666664,60.0
Asb2,Asb2<tm2b(KOMP)Wtsi>,heterozygote,KMPC,9,1,420,OK,9,9,8,6,1,36.666666666666664,27.77777777777778,30.625,44.166666666666664,45.0
Asic4,Asic4<tm1b(KOMP)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,42.5,21.25,31.25,31.25,43.75
Asic4,Asic4<em2(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,35.0,18.75,23.75,33.75,48.75
Atf3,Atf3<tm2b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,65.0,36.25,35.0,43.75,47.5
Atp11b,Atp11b<em1(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,33.75,21.25,26.25,35.0,48.75
Atp13a5,Atp13a5<em1(IMPC)Marc>,homozygote,MARC,4,4,147,OK,4,4,4,4,4,48.75,62.5,45.0,53.75,58.75
Atp5mc2,Atp5mc2<tm2b(EUCOMM)Hmgu>,heterozygote,HMGU,8,6,960,OK,8,8,8,8,6,55.0,35.625,37.5,45.625,65.0
Atp5mc2,Atp5mc2<tm2b(EUCOMM)Hmgu>,homozygote,HMGU,3,1,960,OK,3,3,3,2,1,68.33333333333333,40.0,45.0,52.5,80.0
Atp5po,Atp5po<tm1.1(KOMP)Vlcg>,heterozygote,JAX,8,8,2541,OK,8,8,8,8,8,50.625,47.5,33.75,40.0,52.5
B4galt5,B4galt5<em1(IMPC)Tcp>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,33.75,21.25,27.5,32.5,45.0
B4gat1,B4gat1<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,3,3,574,OK,3,3,3,3,3,45.0,30.0,30.0,38.333333333333336,55.0
Bcl2l11,Bcl2l11<em1(IMPC)H>,homozygote,MRC Harwell,4,4,70,OK,4,4,4,4,4,47.5,42.5,31.25,30.0,33.75
Birc3,Birc3<em1(IMPC)Kmpc>,homozygote,KMPC,4,4,420,OK,4,4,4,4,4,32.5,26.25,31.25,33.75,66.25
Bloc1s5,Bloc1s5<em1(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,35.0,18.75,27.5,38.75,48.75
Bloc1s5,Bloc1s5<em1(IMPC)Tcp>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,33.75,18.75,27.5,37.5,52.5
Bnip1,Bnip1<tm2b(KOMP)Wtsi>,heterozygote,MARC,4,4,147,OK,4,4,4,4,4,55.0,57.5,52.5,65.0,77.5
Bpifa2,Bpifa2<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,32.5,17.5,20.0,32.5,52.5
Bri3bp,Bri3bp<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,36.25,21.25,23.75,40.0,56.25
Brix1,Brix1<tm1b(KOMP)Mbp>,heterozygote,MARC,4,4,147,OK,4,4,4,4,4,45.0,56.25,42.5,55.0,52.5
Bst2,Bst2<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,32.5,21.25,21.25,30.0,48.75
Btc,Btc<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,33.75,15.0,21.25,30.0,48.75
Btrc,Btrc<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,36.25,31.25,26.25,35.0,56.25
C1qb,C1qb<tm1.1(KOMP)Vlcg>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,54.375,51.25,43.125,51.25,64.375
C2cd4c,C2cd4c<em1(IMPC)Hmgu>,homozygote,HMGU,8,8,1909,OK,8,8,8,8,8,41.25,29.375,28.75,43.75,56.875
Cacna2d2,Cacna2d2<em1(IMPC)Mbp>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,41.25,21.25,31.25,40.0,63.75
Cant1,Cant1<tm1b(EUCOMM)Hmgu>,heterozygote,HMGU,8,8,960,OK,8,8,8,8,8,64.375,42.5,41.875,52.5,68.75
Cant1,Cant1<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,3,1,960,OK,2,2,2,1,1,42.5,32.5,35.0,45.0,55.0
Cav2,Cav2<em1(IMPC)Kmpc>,homozygote,KMPC,5,2,420,OK,5,5,5,5,2,25.0,25.0,26.0,34.0,65.0
Cavin3,Cavin3<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,37.5,21.25,25.0,30.0,46.25
Ccdc40,Ccdc40<em1(IMPC)J>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,44.375,41.25,34.375,45.0,63.75
Ccdc85a,Ccdc85a<em1(IMPC)J>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,46.875,43.75,29.375,43.125,57.5
Cd79a,Cd79a<em1(IMPC)H>,homozygote,MRC Harwell,3,3,70,OK,3,3,3,3,3,50.0,43.333333333333336,33.333333333333336,35.0,35.0
Cdc7,Cdc7<tm1.1(KOMP)Vlcg>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,33.75,18.75,22.5,31.25,48.75
Cdh26,Cdh26<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,47.5,23.75,28.75,43.75,63.75
Cenph,Cenph<tm1b(EUCOMM)Hmgu>,heterozygote,HMGU,12,11,960,OK,12,12,12,12,11,39.583333333333336,27.083333333333332,34.166666666666664,44.166666666666664,57.72727272727273
Cep162,Cep162<em1(IMPC)Kmpc>,homozygote,KMPC,4,2,420,OK,4,4,4,4,2,31.25,32.5,28.75,33.75,60.0
Ces1d,Ces1d<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,42.5,27.5,28.75,40.0,70.0
Ces2c,Ces2c<em1(IMPC)J>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,50.0,41.25,40.0,48.75,66.25
Cfap45,Cfap45<em1(IMPC)Mhzh>,heterozygote,MARC,6,6,147,OK,6,6,6,6,6,48.333333333333336,45.0,52.5,65.83333333333333,73.33333333333333
Cfap45,Cfap45<em1(IMPC)Mhzh>,homozygote,MARC,3,3,147,OK,3,3,3,3,3,48.333333333333336,53.333333333333336,38.333333333333336,46.666666666666664,55.0
Cfap68,Cfap68<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,51.25,27.5,31.25,37.5,52.5
Chchd10,Chchd10<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,41.25,26.25,28.75,35.0,47.5
Chd8,Chd8<em1(IMPC)Mbp>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,31.25,17.5,23.75,32.5,60.0
Chek2,Chek2<tm1b(EUCOMM)Hmgu>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,48.75,46.875,36.25,43.125,60.0
Ciao2a,Ciao2a<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,4,4,906,OK,4,4,4,4,4,33.75,21.25,20.0,33.75,45.0
Cib3,Cib3<em1(IMPC)H>,homozygote,MRC Harwell,4,4,346,OK,4,4,4,4,4,35.0,30.0,32.5,33.75,37.5
Cimap1d,Cimap1d<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,76.25,80.0,68.75,71.25,77.5
Cimap1d,Cimap1d<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,66.25,60.0,57.5,78.75,100.0
Clca2,Clca2<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,38.75,22.5,22.5,30.0,62.5
Clcn6,Clcn6<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,35.0,17.5,22.5,31.25,55.0
Cldn3,Cldn3<em1(IMPC)H>,homozygote,MRC Harwell,4,4,346,OK,4,4,4,4,4,43.75,31.25,28.75,35.0,51.25
Clec2i,Clec2i<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,2,346,OK,4,4,4,2,2,58.75,52.5,51.25,55.0,45.0
Clec5a,Clec5a<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,35.0,18.75,23.75,37.5,73.75
Cmklr2,Cmklr2<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,41.25,27.5,27.5,27.5,45.0
Cmtm3,Cmtm3<em1(IMPC)H>,homozygote,MRC Harwell,4,4,346,OK,4,4,4,4,4,41.25,38.75,32.5,30.0,32.5
Coq2,Coq2<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,48.75,27.5,33.75,41.25,43.75
Cox20,Cox20<em1(IMPC)Tcp>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,33.75,18.75,22.5,30.0,42.5
Cpa1,Cpa1<em1(IMPC)Marc>,homozygote,MARC,4,4,147,OK,4,4,4,4,4,57.5,42.5,45.0,53.75,76.25
Cpe,Cpe<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,4,1,960,OK,2,2,2,2,1,50.0,42.5,47.5,62.5,60.0
Cped1,Cped1<em1(IMPC)J>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,48.125,41.25,30.0,49.375,56.25
Crtac1,Crtac1<em1(IMPC)H>,homozygote,MRC Harwell,4,3,346,OK,4,4,4,4,3,41.25,40.0,42.5,57.5,81.66666666666667
Csf2rb,Csf2rb<tm2b(EUCOMM)Hmgu>,heterozygote,ICS,16,16,1512,OK,16,16,16,16,16,39.6875,18.75,20.3125,28.4375,40.3125
Csf3r,Csf3r<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,46.25,42.5,33.75,43.75,77.5
Cstdc3,Cstdc3<em1(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,33.75,18.75,25.0,33.75,48.75
Ctla2b,Ctla2b<tm1.1(NCOM)Mfgc>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,33.75,17.5,20.0,26.25,35.0
Cul5,Cul5<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,51.25,36.25,37.5,51.25,60.0
Cyb5b,Cyb5b<tm1b(EUCOMM)Hmgu>,heterozygote,KMPC,4,2,420,OK,4,4,4,4,2,37.5,27.5,25.0,38.75,70.0
Cysltr2,Cysltr2<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,36.25,30.0,30.0,37.5,46.25
Dapl1,Dapl1<em1(IMPC)Kmpc>,homozygote,KMPC,4,1,420,OK,4,4,4,4,1,30.0,27.5,28.75,38.75,60.0
Defb43,Defb43<tm1b(KOMP)Wtsi>,homozygote,MARC,4,4,147,OK,4,4,4,4,4,67.5,56.25,55.0,88.75,95.0
Dgke,Dgke<em1(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,35.0,20.0,23.75,27.5,41.25
Dhx9,Dhx9<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,8,0,1909,OK,0,0,0,0,0,,,,,
Dnajc21,Dnajc21<tm1.1(NCOM)Mfgc>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,35.0,21.25,25.0,28.75,41.25
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,ICS,21,21,1512,OK,21,21,21,21,21,47.61904761904762,20.0,21.428571428571427,30.0,38.095238095238095
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,50.0,26.25,25.0,41.25,57.5
Dnase1l2,Dnase1l2<em1(IMPC)J>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,47.5,45.0,34.375,43.125,57.5
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,43.75,30.0,28.75,35.0,42.5
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,JAX,8,7,2541,OK,8,8,8,8,7,56.25,53.75,40.0,57.5,65.0
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,HMGU,8,5,960,OK,8,8,8,7,5,48.125,27.5,38.125,43.57142857142857,51.0
Dnase1l2,Dnase1l2<tm1(KOMP)Wtsi>,homozygote,RBRC,4,4,296,OK,4,4,4,4,4,10.7,3.2,8.0,22.05,28.55
Dnase1l2,Dnase1l2<em2(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,42.5,30.0,33.75,45.0,53.75
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,WTSI,4,4,906,OK,4,4,4,4,4,38.75,13.75,22.5,30.0,43.75
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,35.0,20.0,23.75,30.0,41.25
Dpm3,Dpm3<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,47.5,31.25,30.0,42.5,55.0
Dsc3,Dsc3<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,3,3,346,OK,3,3,3,3,3,55.0,30.0,40.0,40.0,46.666666666666664
Dusp13b,Dusp13b<tm1b(KOMP)Wtsi>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,61.25,28.75,32.5,40.0,50.0
Dync2i1,Dync2i1<em1(IMPC)Tcp>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,32.5,18.75,26.25,30.0,48.75
Edc3,Edc3<em1(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,40.0,22.5,30.0,36.25,50.0
Edc3,Edc3<em1(IMPC)Tcp>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,33.75,20.0,23.75,31.25,47.5
Efcab11,Efcab11<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,43.75,25.0,28.75,36.25,55.0
Egfl6,Egfl6<tm1a(EUCOMM)Hmgu>,homozygote,KMPC,4,1,420,OK,4,4,4,4,1,28.75,30.0,26.25,26.25,85.0
Eif2b4,Eif2b4<tm1b(KOMP)Wtsi>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,40.0,25.0,25.0,38.75,47.5
Emd,Emd<em1(IMPC)Kmpc>,homozygote,KMPC,3,1,420,OK,3,3,3,3,1,31.666666666666668,26.666666666666668,28.333333333333332,46.666666666666664,30.0
Emd,Emd<em1(IMPC)Kmpc>,hemizygote,KMPC,3,2,420,OK,3,3,3,3,2,25.0,20.0,28.333333333333332,40.0,57.5
Emd,Emd<em1(IMPC)Kmpc>,homozygote,KMPC,3,1,420,OK,3,3,3,3,1,31.666666666666668,26.666666666666668,28.333333333333332,46.666666666666664,30.0
Emd,Emd<em1(IMPC)Kmpc>,hemizygote,KMPC,3,2,420,OK,3,3,3,3,2,25.0,20.0,28.333333333333332,40.0,57.5
Eng,Eng<em1(IMPC)Mbp>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,45.0,27.5,35.0,47.5,55.0
Entpd1,Entpd1<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,4,2,960,OK,4,4,4,4,2,35.0,21.25,30.0,47.5,55.0
Entpd1,Entpd1<tm1b(EUCOMM)Wtsi>,heterozygote,HMGU,8,2,960,OK,8,8,8,8,2,35.0,21.25,28.125,43.75,62.5
Entpd1,Entpd1<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,4,2,960,OK,4,4,4,4,2,35.0,21.25,30.0,47.5,55.0
Entpd1,Entpd1<tm1b(EUCOMM)Wtsi>,heterozygote,HMGU,8,2,960,OK,8,8,8,8,2,35.0,21.25,28.125,43.75,62.5
Eomes,Eomes<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,52.5,27.5,37.5,48.75,46.25
Epb41l4a,Epb41l4a<tm1b(KOMP)Mbp>,homozygote,JAX,7,7,2541,OK,7,7,7,7,7,43.57142857142857,40.0,29.285714285714285,40.0,47.857142857142854
Ercc6l2,Ercc6l2<em1(IMPC)Hmgu>,homozygote,HMGU,3,2,1909,OK,3,3,3,3,2,38.333333333333336,25.0,28.333333333333332,40.0,60.0
Erich3,Erich3<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,33.75,22.5,25.0,30.0,42.5
Ermn,Ermn<em1(IMPC)H>,homozygote,MRC Harwell,4,4,346,OK,4,4,4,4,4,38.75,31.25,36.25,31.25,45.0
Esr2,Esr2<em1(IMPC)Marc>,homozygote,MARC,4,4,147,OK,4,4,4,4,4,58.75,43.75,48.75,57.5,73.75
Fabp1,Fabp1<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,38.75,38.75,38.75,38.75,45.0
